Designator,Mid X,Mid Y,Rotation,Layer
C1,22.2,-13.7,90.0,top
C10,59.4,-10.1,270.0,top
C11,64.6,-13.4,90.0,top
C12,46.0125,-16.6375,180.0,top
C13,37.0125,-14.8375,0.0,top
C14,12.3,-37.0,0.0,top
C16,13.2,-31.1,0.0,top
C17,13.2,-29.4,0.0,top
C18,12.3,-38.5,180.0,top
C2,24.3,-17.8,90.0,top
C3,21.1,-9.5,180.0,top
C4,23.5625,-22.9,0.0,top
C5,29.5,-26.25,270.0,top
C6,32.1,-23.65,0.0,top
C7,33.9,-28.95,0.0,top
C8,33.6125,-21.9375,180.0,top
C9,34.5125,-19.0375,90.0,top
D1,32.6125,-19.0375,90.0,top
D2,30.6125,-19.0375,270.0,top
D3,31.5,-26.2,90.0,top
D4,14.8,-33.6,90.0,top
D5,33.7,-26.25,270.0,top
D7,14.8,-44.4,270.0,top
Q1,26.6,-26.25,180.0,top
Q2,42.4125,-20.2,270.0,top
Q3,59.45,-17.12,180.0,top
Q4,24.8,-13.8,270.0,top
Q5,10.5,-34.4,0.0,top
R1,22.6,-17.8,270.0,top
R10,21.8,-25.6,270.0,top
R11,26.5,-28.95,0.0,top
R12,30.3875,-28.95,0.0,top
R13,37.1125,-21.9375,0.0,top
R14,36.2125,-19.0375,90.0,top
R15,46.1125,-19.2,180.0,top
R16,46.0125,-21.3,0.0,top
R17,40.625,-14.9375,180.0,top
R18,59.4,-14.5,0.0,top
R19,57.5,-12.9,180.0,top
R2,28.4,-14.9,180.0,top
R20,64.6,-17.3,270.0,top
R21,59.35,-19.7,0.0,top
R22,44.1875,-15.0375,0.0,top
R24,7.1,-37.7,90.0,top
R25,27.0,-5.3,270.0,top
R26,67.245,-9.675,270.0,top
R3,27.0,-18.7,180.0,top
R4,20.5,-13.7,90.0,top
R5,21.1,-11.0625,0.0,top
R6,12.1,-9.1,180.0,top
R7,20.0625,-22.9,0.0,top
R8,28.6,-23.65,180.0,top
R9,23.6,-25.5,270.0,top
